trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,7,13.72630827295145,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-82.84392863659559,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,1,-81.79470603783103,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,12,-45.4967724919828,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,0,-83.10070789938808,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,1,-124.82468012761314,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 2}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-96.92990081443642,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-41.76288230756429,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,0,-56.619116685804016,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,2,-33.273925693957764,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,18,0.1793277468350234,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,16,-43.783207309790754,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,3,-42.49507800971221,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,7,-32.89557309929918,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,8,-35.61937408472728,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,6,10.472148241427575,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,18,2.4303800652982788,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,12,-16.218879425388103,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,11,3.8627229298039802,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,14,8.654990029702976,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,14,-5.1969043359497915,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",30,0,-112.12279269799,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,16,-5.698261910962321,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,15,23.918891742093507,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,9.934683741745507,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,1,-25.827218178403538,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,0,-78.81677984864244,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,0,7.776941294745,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",35,22,-3.0015494511851326,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,13,-0.8411990998615309,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,7,7.346675311176329,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,0,-19.62217250940172,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
